GeneId,GeneSym,mRNA concentrationa in AU/µg DCW at µ=0.10 h-1,mRNA concentrationa in AU/µg DCW at µ=0.20 h-1,mRNA concentrationa in AU/µg DCW at µ=0.40 h-1,mRNA concentrationa in AU/µg DCW at µ=0.63 h-1,mRNA half-lifea in min at µ=0.10 h-1,mRNA half-lifea in min at µ=0.20 h-1,mRNA half-lifea in min at µ=0.40 h-1,mRNA half-lifea in min at µ=0.63 h-1,Gene in Operonb?,Number of genes in operonb,Position in operonb,Gene is essentialc? ,COGd,Cell location of gene productd,length of ORFe in bp,%GC of ORF,length of 5'UTRf in bp,%GC of 5'UTR,length of ORF+5'UTR in bp,%GC of ORF+5'UTR,CAI of ORF,Protein with signal peptided?
b0488,ybbJ,2631.92,2857.69,4725.82,3969.08,2.86,2.54,2.19,1.85,Yes,2,2,No,"[O] Posttranslational modification, protein turnover, chaperones",Integral Membrane Protein,459,0.57,NA,NA,NA,NA,0.27,No
b0489,qmcA,1048.46,1209.89,2469.7,2185.25,4.19,3.82,2.95,2.59,Yes,2,1,No,"[O] Posttranslational modification, protein turnover, chaperones",Membrane Anchored,918,0.53,52,0.42,970,0.52,0.46,No
b0490,ybbL,643.55,1561.07,1664.54,3103.12,4.89,2.65,2.52,1.96,Yes,2,1,No,[R] General function prediction only,Cytoplasmic,678,0.45,288,0.44,966,0.45,0.33,No
b0491,ybbM,272.76,506.46,749.05,1113.67,7.84,4.36,3.73,3.13,Yes,2,2,No,NA,Integral Membrane Protein,780,0.46,NA,NA,NA,NA,0.28,No
b0492,ybbN,2640.56,4212.1,7201.36,7943.3,2.76,2.2,1.81,2.17,No,1,NA,No,NA,Cytoplasmic,855,0.56,NA,NA,NA,NA,0.48,No
b0493,ybbO,3061.5,4312.82,8452.19,10807.97,2.49,1.9,1.64,1.88,Yes,2,2,No,[I] Lipid transport and metabolism,Cytoplasmic,810,0.54,NA,NA,NA,NA,0.35,No
b0494,tesA,2092.65,3260.17,4720.17,5039.88,2.87,2.08,1.83,2.06,Yes,2,1,No,[E] Amino acid transport and metabolism,Unknown,627,0.53,32,0.56,659,0.53,0.36,Yes
b0495,ybbA,700.78,882.64,1308.32,1033.53,4.57,3.58,2.81,3.62,Yes,2,1,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Cytoplasmic,687,0.57,387,0.56,1074,0.56,0.34,No
b0496,ybbP,552.39,805.94,1462.67,1105.56,4.92,3.66,2.78,3.58,Yes,2,2,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Integral Membrane Protein,2415,0.58,150,0.6,2565,0.58,0.33,No
b0502,ylbG,285.91,343.53,427.72,523.31,7.33,6.15,6.34,5.24,No,1,NA,No,NA,Cytoplasmic,372,0.5,34,0.41,406,0.5,0.39,No
b0503,selU,218.84,275.39,455.15,599.61,10.04,7.35,5.68,5.42,No,1,NA,No,[R] General function prediction only,Cytoplasmic,1095,0.56,27,0.33,1122,0.55,0.41,No
b0506,allR,2330.59,3614.84,5455.75,6079.5,3.01,2.07,1.6,1.84,No,1,NA,No,[K] Transcription,Unknown,816,0.53,395,0.52,1211,0.52,0.3,No
b0513,ybbY,36.21,67.09,71.18,114.68,31.05,17.92,17.79,15.52,Yes,7,6,No,NA,Integral Membrane Protein,1302,0.51,503,0.51,1805,0.51,0.31,No
b0514,glxK,235.57,312.87,487.56,459.86,8.9,7.76,6.29,11.68,Yes,7,7,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1146,0.56,NA,NA,NA,NA,0.37,No
b0515,ylbA,1318.63,1845.57,2372.24,2492.41,4.08,4.83,4.54,7.9,Yes,3,3,No,[R] General function prediction only,Cytoplasmic,786,0.46,535,0.51,1321,0.48,0.46,No
b0516,allC,879.65,822.7,598.43,756.59,3.99,3.72,4.93,5.5,Yes,3,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,1236,0.51,NA,NA,NA,NA,0.38,No
b0520,ylbF,103.74,116.38,170.59,151.89,15.72,13.86,11.5,12.01,Yes,5,NA,No,NA,Cytoplasmic,816,0.57,NA,NA,NA,NA,0.29,No
b0521,ybcF,93.49,141.76,184.6,177.61,19.93,14.02,10.82,12.82,Yes,5,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,894,0.57,NA,NA,NA,NA,0.33,No
b0522,purK,2222.79,4876.6,10241.69,13532.35,2.92,1.83,1.27,1.42,Yes,2,2,No,[F] Nucleotide transport and metabolism,Cytoplasmic,1068,0.56,88,0.59,1156,0.57,0.46,No
b0523,purE,811.71,2067.49,3983.9,5683.21,4.55,2.5,1.68,1.69,Yes,2,1,No,[F] Nucleotide transport and metabolism,Unknown,510,0.59,42,0.5,552,0.58,0.51,No
b0524,lpxH,1583.95,2457.1,4774.04,5917.77,3.45,2.38,1.72,1.67,Yes,2,2,Yes,[S] Function unknown,Cytoplasmic,723,0.54,353,0.51,1076,0.53,0.37,No
b0525,ppiB,4767.21,7487.41,11048.47,16435.05,2.82,2.28,1.91,2.27,Yes,2,1,No,"[O] Posttranslational modification, protein turnover, chaperones",Cytoplasmic,495,0.48,121,0.47,616,0.48,0.72,No
b0526,cysS,2372.18,4730.82,5558.69,6429.79,2.78,1.85,1.53,1.78,No,1,NA,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1386,0.54,195,0.45,1581,0.53,0.53,No
b0527,ybcI,273.99,490.6,706.18,713.75,8.86,5.66,4.61,4.93,No,1,NA,No,[R] General function prediction only,Integral Membrane Protein,522,0.53,NA,NA,NA,NA,0.26,No
b0528,ybcJ,296.24,467.69,756.81,678.11,8.15,5.48,4.07,4.62,Yes,2,2,No,[S] Function unknown,Cytoplasmic,213,0.55,NA,NA,NA,NA,0.53,No
b0529,folD,2395.74,3357.76,6892.57,8856.62,2.85,2.04,1.42,1.51,Yes,2,1,Yes,[H] Coenzyme transport and metabolism,Cytoplasmic,867,0.54,40,0.48,907,0.54,0.46,No
b0539,exoD,103.85,142.48,158.11,215.74,16.86,12.09,14.27,11.43,No,1,NA,No,NA,Cytoplasmic,264,0.5,NA,NA,NA,NA,0.36,No
b0549,ybcO,48.38,89.53,98.76,127.37,29.73,24.25,20.05,19.55,Yes,5,3,No,NA,Cytoplasmic,291,0.53,NA,NA,NA,NA,0.4,No
b0553,nmpC,27492.39,43377.98,47554.3,49772.67,1.98,2.26,1.98,1.04,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Outer Membrane B-barrel protein,1068,0.44,45,0.33,1113,0.44,0.63,Yes
b0555,arrD,51.45,66.26,85.9,114.79,25.16,18.96,17.95,16.44,Yes,3,2,No,[R] General function prediction only,Periplasmic,498,0.48,NA,NA,NA,NA,0.35,No
b0557,borD,510.23,1160.91,1812.83,3630.96,5.57,3.17,2.58,2.01,No,1,NA,No,NA,Outer membrane Lipoprotein,294,0.41,28,0.39,322,0.41,0.39,No
b0567,ybcH,150.38,318.47,416.93,341.79,11.66,7,7.04,7.28,No,1,NA,No,NA,Unknown,891,0.52,NA,NA,NA,NA,0.38,Yes
b0568,nfrA,716.65,903.48,1626.5,1651.29,4.38,3.26,2.96,2.52,Yes,2,2,No,[R] General function prediction only,Periplasmic,2973,0.55,NA,NA,NA,NA,0.37,Yes
b0569,nfrB,86.39,76.85,130.58,167.81,17.51,14.31,13.24,10.44,Yes,2,1,No,NA,Integral Membrane Protein,2238,0.53,NA,NA,NA,NA,0.39,No
b0571,cusR,870.66,990.36,1549.88,2181.58,4.46,3.47,2.69,2.59,Yes,2,1,No,[K] Transcription,Cytoplasmic,684,0.54,18,0.5,702,0.54,0.36,No
b0573,cusF,243.28,243.35,1674.86,2766.62,9.32,7.38,3.04,2.27,Yes,4,2,No,NA,Periplasmic,333,0.45,291,0.45,624,0.45,0.54,No
b0574,cusB,127.7,215.57,1107.21,1229.59,12.58,8.39,3.15,3.06,Yes,4,3,No,[M] Cell wall/membrane/envelope biogenesis,Unknown,1224,0.56,NA,NA,NA,NA,0.41,No
b0575,cusA,159.45,213.75,588.65,695.6,11.72,8.84,5.21,4.98,Yes,4,4,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,3144,0.56,497,0.58,3641,0.56,0.37,No
b0576,pheP,401.86,803.9,1295.57,1585.74,7.29,3.95,2.92,2.67,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1377,0.53,NA,NA,NA,NA,0.43,No
b0577,mscM,508.94,844.11,1685.71,2377.58,5.23,3.38,2.59,2.53,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Integral Membrane Protein,1248,0.48,500,0.52,1748,0.49,0.38,No
b0578,nfsB,6516.59,8337.49,11966.55,16654.62,2.36,2.39,2.6,3.01,No,1,NA,No,[C] Energy production and conversion,Unknown,654,0.52,29,0.34,683,0.51,0.53,No
b0579,ybdF,252.8,390.25,686.34,766.71,8.9,5.31,4.31,4.19,No,1,NA,No,[S] Function unknown,Cytoplasmic,369,0.47,26,0.42,395,0.47,0.33,No
b0580,ybdJ,185.64,334.13,380.94,382.11,10.28,6.28,6.4,6.67,No,1,NA,No,NA,Integral Membrane Protein,249,0.51,23,0.17,272,0.48,0.36,No
b0581,ybdK,1037.18,730.52,710.63,1015.32,3.94,4.23,4.48,4.39,No,1,NA,No,[S] Function unknown,Cytoplasmic,1119,0.52,340,0.44,1459,0.5,0.38,No
b0583,entD,179.46,330.82,543.07,1759.03,9.39,5.43,4.78,2.43,Yes,2,2,Yes,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Cytoplasmic,621,0.48,NA,NA,NA,NA,0.32,No
b0584,fepA,1207.64,2654.69,4262.42,12204.37,3.41,2.42,2.22,2.4,Yes,2,1,No,[P] Inorganic ion transport and metabolism,Outer Membrane B-barrel protein,2241,0.54,145,0.51,2386,0.54,0.48,No
b0586,entF,433.52,1014.08,1623.45,3287.52,5.88,3.53,3.35,2.22,Yes,4,3,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Cytoplasmic,3882,0.57,NA,NA,NA,NA,0.37,No
b0588,fepC,948.94,1379.3,2236.43,3032.16,3.54,2.65,2.28,1.83,Yes,3,3,No,[H] Coenzyme transport and metabolism,Cytoplasmic,816,0.54,NA,NA,NA,NA,0.35,No
b0589,fepG,312.11,496.18,735.84,1280.99,6.79,4.32,3.64,2.96,Yes,3,2,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,993,0.58,NA,NA,NA,NA,0.32,No
b0591,entS,602.02,973.91,1881.04,3360.08,5.02,3.22,2.23,1.87,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1251,0.58,42,0.29,1293,0.57,0.31,No
b0592,fepB,612.05,970.22,1475.7,1644.49,5.23,3.56,2.63,2.65,No,1,NA,No,[P] Inorganic ion transport and metabolism,Periplasmic,957,0.55,217,0.53,1174,0.55,0.34,Yes
b0593,entC,861.25,1414.96,3050.35,7577.54,4.03,2.61,1.93,1.65,Yes,5,1,No,[H] Coenzyme transport and metabolism,Cytoplasmic,1176,0.56,54,0.24,1230,0.55,0.39,No
b0594,entE,768.98,1396.04,3074.85,7842.41,4.26,2.81,2.08,1.77,Yes,5,2,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Unknown,1611,0.56,NA,NA,NA,NA,0.41,No
b0595,entB,1663.67,2643.57,4402.48,11240.99,3.17,2.97,3.07,1.76,Yes,5,3,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Cytoplasmic,858,0.55,NA,NA,NA,NA,0.46,No
b0596,entA,996.6,1613.71,3083.71,7926.63,3.84,3.43,3.07,1.78,Yes,5,4,No,[I] Lipid transport and metabolism,Cytoplasmic,747,0.58,NA,NA,NA,NA,0.39,No
b0597,entH,1675.38,2698.49,4546.18,10096.6,3.3,3.27,2.76,1.78,Yes,5,5,No,"[Q] Secondary metabolites biosynthesis, transport and catabolism",Cytoplasmic,414,0.57,NA,NA,NA,NA,0.34,No
b0599,ybdH,2396.36,3285.61,5960.01,4484.14,2.96,2.2,1.67,1.91,No,1,NA,No,[C] Energy production and conversion,Unknown,1089,0.55,46,0.3,1135,0.54,0.39,No
b0600,ybdL,2450.22,2185.64,3962.52,3766.11,2.79,2.39,1.74,1.89,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,1161,0.54,29,0.38,1190,0.53,0.37,No
b0601,ybdM,144.06,301.77,237.34,443.91,11.55,6.28,9.2,6.14,No,1,NA,No,[K] Transcription,Cytoplasmic,630,0.47,NA,NA,NA,NA,0.37,No
b0604,dsbG,213.2,618.97,359.72,1038.33,8.97,3.93,6.92,3.79,No,1,NA,No,"[O] Posttranslational modification, protein turnover, chaperones",Periplasmic,747,0.47,158,0.43,905,0.46,0.34,Yes
b0607,uspG,1153.73,1699.9,2292.33,2223.17,8.49,9.08,10.57,3.62,No,1,NA,No,[T] Signal transduction mechanisms,Cytoplasmic,429,0.5,36,0.36,465,0.49,0.39,No
b0608,ybdR,699.73,889.92,690.83,893.6,4.81,3.96,5.11,4.63,No,1,NA,No,[E] Amino acid transport and metabolism,Unknown,1239,0.5,NA,NA,NA,NA,0.35,No
b0610,rnk,3739.13,3035.08,4490.53,2906.61,3.68,3.94,3.7,5.32,No,1,NA,No,[K] Transcription,Cytoplasmic,411,0.55,378,0.44,789,0.5,0.43,No
b0611,rna,866.98,1177.16,1849.18,2462.97,4.15,3.03,2.41,2.08,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Periplasmic,807,0.51,31,0.39,838,0.51,0.38,No
b0612,citT,88.38,90.31,153.49,147.09,19.15,16.82,11.48,16.06,No,1,NA,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1464,0.51,NA,NA,NA,NA,0.43,No
b0619,dpiB,249.97,455.87,690.19,945.29,7.99,4.52,4.36,3.71,Yes,2,1,No,[T] Signal transduction mechanisms,Integral Membrane Protein,1659,0.5,NA,NA,NA,NA,0.32,No
b0620,dpiA,147.13,232.39,331.39,413.02,12.17,6.86,7.1,5.56,Yes,2,2,No,[K] Transcription,Cytoplasmic,681,0.51,NA,NA,NA,NA,0.29,No
b0623,cspE,2746.5,1630.68,2331.06,2448.58,4.33,3.45,2.6,3.94,No,1,NA,No,[K] Transcription,Cytoplasmic,210,0.44,42,0.31,252,0.42,0.65,No
b0624,crcB,224.9,511.93,597.54,1243.4,10.03,5.37,5.22,3.39,No,1,NA,No,"[D] Cell cycle control, cell division, chromosome partitioning",Integral Membrane Protein,384,0.48,NA,NA,NA,NA,0.24,No
b0627,tatE,1759.12,2441.85,2131.68,4209.46,5.66,5.27,4.92,4.72,No,1,NA,No,"[U] Intracellular trafficking, secretion, and vesicular transport",Membrane Anchored,204,0.5,74,0.43,278,0.48,0.4,No
b0628,lipA,13744.74,12907.33,19043.56,22598.74,1.9,1.77,1.54,1.48,No,1,NA,No,[H] Coenzyme transport and metabolism,Cytoplasmic,966,0.53,85,0.34,1051,0.52,0.52,No
b0630,lipB,690.96,1633.91,1710.93,2698.71,5.01,2.94,2.67,3.22,Yes,2,2,No,[H] Coenzyme transport and metabolism,Cytoplasmic,642,0.48,305,0.52,947,0.49,0.33,No
b0631,ybeD,2759.83,3121.15,4096.96,4181.59,2.88,2.56,2.17,3.68,Yes,2,1,No,[S] Function unknown,Cytoplasmic,264,0.46,658,0.47,922,0.47,0.54,No
b0632,dacA,2454.54,5036.44,8765,12982.92,2.71,1.88,1.7,2.32,No,1,NA,No,[M] Cell wall/membrane/envelope biogenesis,Periplasmic,1212,0.49,38,0.39,1250,0.49,0.54,Yes
b0633,rlpA,2137.69,4030.6,6696.37,7098.93,2.78,2.11,1.86,2.79,Yes,5,5,No,[M] Cell wall/membrane/envelope biogenesis,Outer membrane Lipoprotein,1089,0.57,142,0.52,1231,0.57,0.36,Yes
b0634,mrdB,1658.58,2074.17,4405.73,6199.71,3.03,2.49,2.09,1.86,Yes,5,4,Yes,"[D] Cell cycle control, cell division, chromosome partitioning",Integral Membrane Protein,1113,0.52,656,0.54,1769,0.53,0.37,No
b0635,mrdA,444.85,897.9,1537.11,1837.16,5.72,3.1,2.62,2.56,Yes,5,3,Yes,[M] Cell wall/membrane/envelope biogenesis,Membrane Anchored,1902,0.53,185,0.61,2087,0.53,0.47,No
b0636,rlmH,999.94,2377.51,5023.56,5958.45,4.27,2.54,1.68,1.79,Yes,5,2,No,[S] Function unknown,Cytoplasmic,468,0.58,263,0.54,731,0.57,0.34,No
b0637,ybeB,1553.95,3466.02,5942.73,6879.73,3.29,2.09,1.61,1.7,Yes,5,1,No,NA,Cytoplasmic,318,0.51,NA,NA,NA,NA,0.51,No
b0638,cobC,294.28,545.21,791.12,1631.13,7.19,4.32,4.1,2.85,Yes,5,5,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,612,0.51,NA,NA,NA,NA,0.31,No
b0639,nadD,1404.26,2295.05,3413.79,5227.43,3.21,2.36,2.11,1.64,Yes,5,4,Yes,[H] Coenzyme transport and metabolism,Cytoplasmic,642,0.5,330,0.52,972,0.51,0.37,No
b0640,holA,991.81,1623.67,3424.26,4474.13,3.66,2.69,2.11,1.82,Yes,5,3,Yes,"[L] Replication, recombination and repair",Cytoplasmic,1032,0.52,555,0.53,1587,0.52,0.32,No
b0641,lptE,3361.46,4190.74,9010.8,11135.03,2.45,1.92,1.56,1.43,Yes,5,2,Yes,[M] Cell wall/membrane/envelope biogenesis,Membrane Lipoprotein,582,0.52,NA,NA,NA,NA,0.42,No
b0642,leuS,6775.26,8566.47,19454.77,21480.67,1.98,1.55,1.29,1.36,Yes,5,1,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,2583,0.53,62,0.47,2645,0.53,0.63,No
b0643,ybeL,12165.66,12193.62,7925.91,12428.23,2.63,4.14,4.27,2.02,No,1,NA,No,NA,Cytoplasmic,483,0.53,25,0.52,508,0.53,0.39,No
b0649,djlC,167.52,267.13,263.81,326.07,10.85,6.85,8.07,7.26,Yes,2,2,No,NA,Cytoplasmic,1452,0.48,NA,NA,NA,NA,0.31,No
b0651,rihA,3581.02,5741.12,7119.57,4971.77,2.39,1.74,1.58,3.01,No,1,NA,No,[F] Nucleotide transport and metabolism,Cytoplasmic,936,0.51,NA,NA,NA,NA,0.45,No
b0652,gltL,1812.88,2664.92,2756.54,2253.92,2.91,2.53,2.73,3.06,Yes,5,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,726,0.52,NA,NA,NA,NA,0.51,No
b0653,gltK,5199.12,6031.29,8947.41,9018,2.27,1.91,1.77,2.21,Yes,5,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,675,0.5,NA,NA,NA,NA,0.35,No
b0654,gltJ,2445.01,3545.71,4651.58,4764.79,2.62,2.04,1.97,2.46,Yes,5,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,741,0.52,NA,NA,NA,NA,0.39,No
b0655,gltI,10198.11,12393.4,11234.65,12832.97,3.45,4.96,5.59,6.35,Yes,5,NA,No,[E] Amino acid transport and metabolism,Periplasmic,909,0.49,52,0.44,961,0.48,0.56,Yes
b0657,lnt,1463.35,2166.37,3737.21,4289.53,3.31,2.34,1.88,1.78,Yes,4,4,Yes,[M] Cell wall/membrane/envelope biogenesis,Integral Membrane Protein,1539,0.56,12,0.25,1551,0.55,0.42,No
b0658,ybeX,4166.3,6712.48,11142.61,12427.07,2.35,1.76,1.45,1.43,Yes,4,3,No,[P] Inorganic ion transport and metabolism,Cytoplasmic,879,0.52,126,0.5,1005,0.51,0.52,No
b0659,ybeY,3615.97,6274.44,9304.97,10707,2.42,1.71,1.54,1.41,Yes,4,2,No,[R] General function prediction only,Cytoplasmic,468,0.52,130,0.55,598,0.52,0.44,No
b0660,ybeZ,2862.93,4147.18,7350.22,9996.1,2.64,1.89,1.59,1.52,Yes,4,1,No,[T] Signal transduction mechanisms,Cytoplasmic,1080,0.54,12,0.58,1092,0.54,0.53,No
b0661,miaB,1260.25,2486.21,4083.03,4123.49,3.56,2.28,1.74,2.19,No,1,NA,No,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1425,0.54,36,0.5,1461,0.54,0.53,No
b0662,ubiF,1524.72,2049.82,3167.4,3960.06,3.31,2.57,2.07,1.95,No,1,NA,No,[C] Energy production and conversion,Unknown,1176,0.57,24,0.38,1200,0.57,0.35,No
b0674,asnB,3094.03,5076.29,11422.69,12299.79,2.37,1.75,1.42,1.54,No,1,NA,No,[E] Amino acid transport and metabolism,Cytoplasmic,1665,0.52,462,0.44,2127,0.5,0.52,No
b0675,nagD,2518.64,3177.6,5603.79,6843.51,2.78,2.11,1.65,1.54,Yes,4,4,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,753,0.53,412,0.49,1165,0.52,0.47,No
b0676,nagC,1498.72,1814.27,3570.24,4696.66,3.31,2.42,1.87,1.67,Yes,4,3,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1221,0.53,271,0.49,1492,0.52,0.47,No
b0677,nagA,2393.55,2446.48,3526.53,3894.63,2.72,2.26,2.01,1.92,Yes,4,2,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1149,0.52,422,0.48,1571,0.51,0.48,No
b0678,nagB,1344.23,1974.2,2180.38,2508.14,3.55,2.74,2.59,3.06,Yes,4,1,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,801,0.49,95,0.45,896,0.48,0.58,No
b0679,nagE,7155.56,8472.36,10417.13,6153.87,3.51,4.49,4.29,3.37,No,1,NA,No,[G] Carbohydrate transport and metabolism,Integral Membrane Protein,1947,0.55,620,0.45,2567,0.52,0.56,No
b0680,glnS,3991.85,6743.54,11314.7,15801.59,2.27,1.62,1.3,1.37,No,1,NA,Yes,"[J] Translation, ribosomal structure and biogenesis",Cytoplasmic,1665,0.52,30,0.43,1695,0.52,0.62,No
b0683,fur,3236.85,4287.15,5100.57,6514.94,2.49,2,1.86,1.52,Yes,3,3,No,[P] Inorganic ion transport and metabolism,Cytoplasmic,447,0.48,70,0.4,517,0.47,0.54,No
b0684,fldA,4190.92,8341.56,9322.57,16893.43,2.41,1.71,1.47,1.31,Yes,3,1,Yes,[C] Energy production and conversion,Cytoplasmic,531,0.49,108,0.45,639,0.48,0.63,No
b0685,ybfE,281.87,566.42,899.63,1552.98,8.89,5.04,4.12,3.41,No,1,NA,No,NA,Cytoplasmic,294,0.54,52,0.58,346,0.54,0.41,No
b0686,ybfF,1140.65,2322.7,3138.18,3552.41,3.72,2.38,2.07,2.46,No,1,NA,No,[R] General function prediction only,Cytoplasmic,765,0.51,31,0.45,796,0.51,0.46,No
b0687,seqA,1947.55,3145.01,4576.37,6985.45,3.04,2.01,1.83,1.54,Yes,2,1,No,"[L] Replication, recombination and repair",Cytoplasmic,546,0.5,41,0.46,587,0.49,0.41,No
b0688,pgm,4260.67,6632.23,10030.32,9362.98,2.48,1.94,1.76,1.64,Yes,2,2,No,[G] Carbohydrate transport and metabolism,Cytoplasmic,1641,0.55,563,0.5,2204,0.54,0.59,No
b0689,ybfP,93.88,166.06,161.33,296.88,19.3,10.2,11.58,7.92,No,1,NA,No,NA,Outer membrane Lipoprotein,495,0.45,519,0.51,1014,0.48,0.24,Yes
b0692,potE,224.56,110.09,214.38,158.64,14.07,17.3,15.61,12.77,Yes,2,2,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1320,0.51,NA,NA,NA,NA,0.41,No
b0694,kdpE,641.48,692.43,1353.31,1413.51,5.09,4.67,4.1,3.22,Yes,2,2,No,[K] Transcription,Cytoplasmic,678,0.57,476,0.53,1154,0.55,0.36,No
b0695,kdpD,403.52,782.54,1394.64,1611.71,6.03,3.99,3.32,3.03,Yes,2,1,No,[T] Signal transduction mechanisms,Integral Membrane Protein,2685,0.58,75,0.47,2760,0.57,0.33,No
b0696,kdpC,503.62,1146.1,3077.05,3090.84,4.7,3.39,2.66,2.58,Yes,4,4,No,[P] Inorganic ion transport and metabolism,Membrane Anchored,573,0.54,NA,NA,NA,NA,0.35,No
b0697,kdpB,733.09,2056.77,4684.12,5291.79,3.97,2.48,1.94,2.26,Yes,4,3,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,2049,0.56,NA,NA,NA,NA,0.44,No
b0698,kdpA,741.8,1981.17,5004.71,5988.97,4.27,2.42,1.61,1.92,Yes,4,2,No,[P] Inorganic ion transport and metabolism,Integral Membrane Protein,1674,0.55,20,0.55,1694,0.55,0.37,No
b0708,phr,195.96,217.93,337.68,384.64,10.37,6.91,6.3,6.17,Yes,2,2,No,"[L] Replication, recombination and repair",Cytoplasmic,1419,0.53,84,0.5,1503,0.53,0.33,No
b0709,dtpD,648.61,544.09,1465.21,2898.76,4.75,4.36,2.57,2.15,No,1,NA,No,[E] Amino acid transport and metabolism,Integral Membrane Protein,1482,0.52,113,0.37,1595,0.51,0.43,No
b0710,ybgI,6496.56,8355.5,12428.9,14935.39,2.14,1.7,1.52,1.33,Yes,5,1,No,[S] Function unknown,Cytoplasmic,744,0.53,29,0.52,773,0.53,0.41,No
b0711,ybgJ,6522.07,9874.34,15310.07,13332.51,2.11,1.74,1.67,1.33,Yes,5,2,No,[E] Amino acid transport and metabolism,Cytoplasmic,657,0.58,432,0.54,1089,0.56,0.35,No
b0712,ybgK,6386.52,8229.2,16112.93,13828.02,2.11,1.76,1.7,1.32,Yes,5,3,No,[E] Amino acid transport and metabolism,Cytoplasmic,933,0.56,NA,NA,NA,NA,0.37,No
b0713,ybgL,881.95,1420.55,2430.01,2292.68,4.04,2.95,2.63,2.26,Yes,5,4,No,[R] General function prediction only,Cytoplasmic,735,0.58,NA,NA,NA,NA,0.38,No
b0714,nei,253.07,693.72,1268.33,1906.07,8.13,3.94,3.49,2.5,Yes,5,5,No,"[L] Replication, recombination and repair",Cytoplasmic,792,0.52,NA,NA,NA,NA,0.33,No
b0720,gltA,52442.62,70212.03,97987.5,94276.34,6.7,8.09,5.61,3.63,No,1,NA,No,[C] Energy production and conversion,Unknown,1284,0.51,215,0.45,1499,0.5,0.6,No
b0721,sdhC,40650.13,49344,67487.01,60088.34,1.56,1.58,1.68,1.01,Yes,8,1,No,[C] Energy production and conversion,Integral Membrane Protein,390,0.49,222,0.53,612,0.51,0.36,No
b0722,sdhD,37681.02,50694.31,73336.76,57666.54,1.59,1.7,1.73,1.03,Yes,8,2,No,[C] Energy production and conversion,Integral Membrane Protein,348,0.51,295,0.51,643,0.51,0.47,No
b0723,sdhA,33747.19,39769.12,57609.62,47484.76,1.87,2.31,2.46,1.65,Yes,8,3,No,[C] Energy production and conversion,Cytoplasmic,1767,0.56,260,0.5,2027,0.56,0.57,No
b0724,sdhB,30289.55,38461.02,51444.43,40734.56,1.96,2.47,2.69,1.75,Yes,8,4,No,[C] Energy production and conversion,Cytoplasmic,717,0.52,388,0.55,1105,0.53,0.41,No
b0730,mngR,240.71,507,433.11,687.52,9.13,4.95,5.84,5.18,No,1,NA,No,[K] Transcription,Cytoplasmic,723,0.48,NA,NA,NA,NA,0.34,No
b0733,cydA,21034,16898.2,33510.89,22506.45,3.9,5.75,5.35,4.01,Yes,2,1,Yes,[C] Energy production and conversion,Integral Membrane Protein,1569,0.53,172,0.42,1741,0.52,0.55,No
b0734,cydB,17774.71,15867.03,30071.63,18586.62,4.52,6.95,5.99,4.7,Yes,2,2,No,[C] Energy production and conversion,Integral Membrane Protein,1140,0.54,108,0.55,1248,0.54,0.58,No
b0736,ybgC,648.69,1240,1559.32,2682.59,5.14,3.14,2.86,2.31,Yes,4,1,No,[R] General function prediction only,Cytoplasmic,405,0.5,41,0.34,446,0.48,0.36,No
b0737,tolQ,1970.67,2667.62,4750.65,8800.87,3.08,2.19,1.68,1.36,Yes,4,2,No,"[U] Intracellular trafficking, secretion, and vesicular transport",Integral Membrane Protein,693,0.51,NA,NA,NA,NA,0.41,No
